Conference|Year|Title|Authors|Keywords|Abstract|Category|Decision|Raw Decision
MSR|2015|What’s up with refactoring? Mining refactoring discussions on Stack Overflow|alessandro murgia,daan janssens,javier perez,serge demeyer|Stack Overflow,Refactoring,Practitioners,Topic Modeling|Refactoring is a recommended practice in the software engineering domain. As a consequence practitioners commonly gather in online communities such as Stack Overflow to discuss and share opinions about refactoring. In this paper, we mine Stack Overflow’s discussions related to refactoring. We present the recurring topics, show the relevance of refactoring terms in informal discussions and evaluate the relevance of code snippets for understanding refactoring. Finally, we show the potential of practitioner’s buzz about refactoring tools.|Research Paper|reject|reject
MSR|2015|Cumulative Code Churn: Impact on Maintainability|csaba farago,peter hegedus,rudolf ferenc|Code churn,ISO/IEC 25010,Source code maintainability,Wilcoxon test|It has been shown already that the source code of software systems erodes during development, which results in high maintenance costs in the long term. But can we somehow narrow down where exactly this erosion happens? Is it possible to infer the future erosion based on past code changes? Do modifications performed on frequently changing code (i.e. high-churn code) have worse effect on software quality than those affecting less frequently modified code? In this study we investigated these questions and found that code churn indeed increases the pace of code erosion. We calculated cumulative code churn values and maintainability changes for every commit of three open-source and one proprietary software system. With the help of Wilcoxon rank test we compared the code churn values of the files in commits resulting maintainability increase with those of decreasing the maintainability. Two out of the four tests showed very strong (p-values 0.00081 and 0.00921), one of them strong (p-value 0.022) and one positive but not significant (p-value 0.16) results. These results support our preliminary assumption that modifying high-churn code is more likely to decrease the overall maintainability of a software system, which can be thought of as the generalization of the already known phenomena that code churn results in higher number of defects. This result could be utilized in identifying the "hot spots" of the source code from maintainability point of view. A possible IDE plug-in, which indicates the risk of decreasing the maintainability of the source code, could help the architect and warn the developers.|Research Paper|reject|reject
MSR|2015|Role Distribution and Evolution in Github Project Teams|zhongjie wang,dewayne e. perry|FLOSS projects,role distributions,role transformations,multi-role contributions|Globally-distributed development teams of FLOSS projects evolve rapidly. In a team, different roles make different contributions to the project, and it has been demonstrated that keeping a rational role distribution is of great significance to the potential growth and expansion of the project. To identify the underlying patterns of FLOSS project team structures and role transformations, we performed an empirical study on 89 popular Github projects, in which we analyzed the distribution of 9 roles and identified four clusters of FLOSS projects, each having distinct characteristics on team structure (characterized by the ratio of 9 roles) and role transformations (characterized by the occurring frequency, the duration and the Times of Activeness). The direct and indirect contributions that a developer makes in different roles of one project are accumulated and visualized to characterize the continuity of his or her participation. We found there are no obvious correlations among the contributions of multiple roles that a developer concurrently plays. We identified six co-contribution patterns when developers are concurrently dedicated to multiple projects, and a majority of developers contribute to a single project and a small number of developers contribute concurrently to at most two projects. This study should help FLOSS project managers gain a deep understanding of dynamic role distributions and role transformations in teams, so as to take initiatives to improve their team structures.|Practice Paper|reject|reject
MSR|2015|Development Emails Content Analyzer:  An Approach for Development Emails Sentences Classification|andrea di sorbo,sebastiano panichella,corrado visaggio,gerardo canfora,harald c. gall|Unstructured Data Mining,Development Emails,Natural Language Processing,Empirical Study|Communication among developers plays an important role in any successful software project. Developers rely on emails to exchange relevant information for accomplishing maintenance and development tasks. For this reason, past works proposed approaches to generate summaries of emails content and to link emails content with source code artifacts. However, all these works are not able to link the “intent” of emails with the corresponding source code artifacts. We argue that helping developers to discern the content of email messages that best fit his/her information need is a relevant task. In this paper, we define a set of sentences categories in the context of software development (namely, Feature Request, Opinion Asking, Problem Discovery, Solution Proposal, Information Seeking, and Information Giving) and propose an approach, based on Natural Language Processing, which automatically assigns each email sentence to one of these categories. An empirical study involving two open source projects, Qt and Ubuntu, shows that the proposed approach is able to correctly classify development emails content with a precision of 90% and recall of 70%, on average. The approach also outperforms Machine Learning strategies, previously used by other authors for classifying bug reports, in terms of both precision and recall. The proposed approach can be used for improving the performances of summarization strategies by selecting the more informative text sections (thus avoiding textual noise) in development messages.|Research Paper|reject|reject
MSR|2015|Packages Evolution of Open Source Enterprise Resource Planning Systems: An Empirical Study|muhammad waseem,muhammad usman,ikram asghar|Empirical study,software evolution,software maintenance,packages evolution|Software evolution is one of the key research area in software engineering. Previous studies have indicated that software may evolve from a different perspective with the passage of time for migrating and upgrading. It may evolve on architecture, design and code level for systems and subsystems. The objective of this study is to empirically investigate the trends of packages evolution in open source enterprise resource planning (ERPs) on system and subsystem level. We have answered the following three questions. First, do the growth patterns of open source ERPs are in conformance with the results of similar studies of other open source systems? Second, do the overall packages increase or decrease? Third, what are the dominating change factors in packages evolution? The results are based on empirical data from three open source ERPs which are adempiere, open bravo and apache OFBiz.  We extract the data in terms of added, deleted and modified packages through ‘JDiff’ by comparing subsequent releases. latter on data have been analyzed on the system and subsystem level. This result of our data demonstrate the major growth is limited to few subsystems, overall packages are increased and dominating change factor is modification of the  packages. The first two results are similar to the previous studies while the third one differs from them.|Practice Paper|reject|reject
MSR|2015|Code Growth of Industrial Software Systems: An Exploratory Study|magiel bruntink,eric bouwers|software growth,industrial data,software measurement|It is known that software projects need to evolve in order to stay relevant, and that the volume of code of evolving systems typically increases. An increase in volume requires additional resources for maintenance and evolution, which makes this property important for project owners. So what is a typical growth rate for a software project? And what factors influence this growth rate? While such data have been reported at scale for open-source software, data on industrial software is scarce. This paper aims to fill this gap by analyzing the growth data of 317 industrial software projects that have been monitored following a standardized process. The analysis of this dataset provides preliminary answers to the questions stated above. In addition, our data show that an existing growth rate metric, the Compound Annual Growth Rate, can result in under- and overestimations of growth, in particular in project years beyond the first.|Research Paper|reject|reject
MSR|2015|Using Developer-Interaction Trails to Triage Change Requests|motahareh bahrami zanjani,huzefa h. kagdi,christian bird|Bug triage,Developer recommendation,Mining interaction history|The paper presents an approach, namely iHDev, to recommend developers who are most likely to implement incoming change requests. The basic premise of iHDev is that the developers who interacted with the source code relevant to a given change request are most likely to best assist with its resolution. A machine-learning technique is first used to locate source-code entities relevant to the textual description of a given change request. iHDev then mines interaction trails (i.e., Mylyn sessions) associated with these source-code entities to recommend a ranked list of developers. iHDev integrates the interaction trails in a unique way to perform its task, which was not investigated previously. An empirical study on open source systems Mylyn and Eclipse Project was conducted to assess the effectiveness of iHDev. A number of change requests were used in the evaluated benchmark. Recall for top one to five recommended developers and Mean Reciprocal Rank (MRR) values are reported. Furthermore, a comparative study with two previous approaches that use commit histories and/or the source-code authorship information for developer recommendation was performed. Results show that iHDev could provide a recall gain of up to 127.27% with equivalent or improved MRR values by up to 112.5%.|Research Paper|reject|reject
MSR|2015|Co-evolution of infrastructure and Source Code - An Empirical Study|yujuan jiang,bram adams|infrastructure-as-code,OpenStack,configuration,co-evolution,change coupling,Puppet,Chef,bug,test|Infrastructure-as-code automates the process of configuring and setting up the environment (e.g., servers, VMs and databases) in which a software system will be tested and/or deployed, through textual specification files in a language like Puppet or Chef. Since the environment is instantiated automatically by the infrastructure languages’ tools, no manual intervention is necessary apart from maintaining the infrastructure specification files. The amount of work involved with such maintenance, as well as the size and complexity of infrastructure specification files, have not yet been studied empirically. Through an empirical study of the version control system of 265 OpenStack projects, we find that infrastructure files are large and churn frequently, which could indicate a potential of introducing bugs. Furthermore, we found that the infrastructure code files are coupled tightly with the other files in a project, especially test files, which implies that testers often need to change infrastructure specifications when making changes to the test framework and tests.|Research Paper|accept|accept
MSR|2015|Characteristics of Useful Code Reviews: An Empirical Study|amiangshu bosu,michaela greiler,christian bird|code review,effectiveness,usefulness,reviewer characteristics,modern code review|Over the past decade, both open source and commercial software projects have adopted contemporary peer code review practices as a quality control mechanism. Prior research has shown that developers spend a large amount of time and effort performing code reviews. Therefore, identifying factors that lead to useful code reviews can benefit projects by increasing code review effectiveness and quality. In a three-stage mixed research study, we qualitatively investigated what aspects of code reviews make them useful to developers, used our findings to build and verify a classification model that can distinguish between useful and not useful code review feedback, and finally we used this classifier to classify review comments enabling us to empirically investigate factors that lead to more effective code review feedback. In total, we analyzed 1.5 millions review comments from five Microsoft projects and uncovered many factors that affect the usefulness of review feedback. For example, we found that the proportion of useful comments made by a reviewer increases dramatically in the first year that he or she is at Microsoft but tends to plateau afterwards. In contrast, we found that the more files that are in a change, the lower the proportion of comments in the code review that will be of value to the author of the change. Based on our findings, we provide recommendations for practitioners to improve effectiveness of code reviews.|Research Paper|reject|reject
MSR|2015|A Look on GitHub Projects Attractiveness through Social Inferences. An Empirical Study|anton ryabchikov|GitHub,Contribution Attractiveness,Path Modeling|The last years have seen a shift of open source software (OSS) development towards social coding forges. Characterized by high transparency of activities and low contribution barriers, they foster competition among projects for the development resources. Projects striving for success in highly competitive environments need a better understanding of what signals facilitate their attractiveness for contributors. Although a number of recent works discusses community members’ inferences stimulated by various project-related signals, little has been done on quantitative exploration of the effect of these inferences on OSS project attractiveness. In this paper we bridge this gap by constructing a causal relationship model of project attractiveness and by verifying it through a case study of 2631 projects, extracted from GitHub social coding forge. We argue, based on model analysis, that project "attractiveness" is well represented by the set of visually perceptible project indicators - repository forks, notification subscribers, stargazers and pull requests. The results obtained empirically demonstrate statistically significant positive impact of exposed contribution opportunities (reflected by the number of issues and commit comments), development activity (the size of the development teams and their contributions) and project owner status (the number of followers) on GitHub project attractiveness for contributors. Our findings show that, compared to other factors, inferred contribution opportunities have the most prominent effect on the response construct.|Research Paper|reject|reject
MSR|2015|The App Sampling Problem for App Store Mining|william martin,mark harman,yue jia,federica sarro,yuanyuan zhang|app store analysis,review,data mining,sample bias,topic modelling,lda,app sampling problem|There has been much recent work on user review mining and analysis for requirements engineering. However, most of this work uses subsets of recent review data. We investigate the effects of sampling bias, and techniques for its amelioration in App Store Mining and Analysis, where sampling bias is often unavoidable. We mine 106,891 requests from 2,729,103 user reviews and investigate the properties of apps and reviews from 3 different partitions: the sets with fully complete review data, partially complete review data, and no review data at all. We find that app metrics such as price, rating, and download rank are significantly different between the three completeness levels. We show that correlation analysis can find trends in the data that prevail across the partitions, offering one possible approach to App Store Analysis in the presence of sampling bias.|Research Paper|accept|accept
MSR|2015|Python: Where the Mutants Hide|joshua campbell,abram hindle,jose nelson amaral|python,language model,n-grams,syntax errors,naturalness,parsing,testing,mutation|Dynamic scripting programming languages present a unique challenge to software engineering tools that depend on static analysis. Dynamic languages do not benefit from the full lexical and syntax analysis provided by compilers and static analysis tools. Prior work exploited a statically typed language (Java) and a simple n-gram language model to find syntax-error locations in programs. This work investigates whether n-gram- based error location on source code written in a dynamic language is effective without static analysis or compilation. Unnatural- Code.py is a syntax-error locator developed for the Python pro- gramming language. The UnnaturalCode.py approach is effective on Python code, but faces significantly more challenges than its Java counterpart did. UnnaturalCode.py generalizes the success of previous statically-typed approaches to a dynamically-typed language. This paper also presents a novel tool for random-edit mutation-based automatic exploration of program code variants. The random-edit mutation tool is used to analyze both the implementation of the Python language and UnnaturalCode.py.|Research Paper|reject|reject
MSR|2015|Contrasting exception handling code across languages: An analysis of GitHub repositories|benjamin jakobus,alessandro garcia,eiji adachi barbosa,carlos jose pereira de lucena|exception handling,programming languages,exceptions|Exception handling mechanisms have been introduced into programming languages in an effort to help deal with runtime irregularities. These mechanisms typically provide constructs for sectioning code into exception scopes (e.g. Java try blocks) and exception handlers (e.g. Java catch blocks). Whilst exception handling mechanisms have been the focus of much research over the past years, empirical studies have only focused on characterizing exception handling code of Java and C# programs. There exists little empirical evidence on the impact of various programming languages on exception handling code in software projects. Moreover, to date there exists no study which has examined the structure of exception scopes. We address this shortcoming by examining the differences and commonalities of both exception handlers and exception scopes across a wider range of languages. To this end, we analysed 50 software repositories, containing code developed in  C++, JavaScript, PHP, Java and C#. More than 9 million lines of code and over twenty thousand exception handling blocks were analyzed. Our findings show that the majority of exception handlers are very simplistic, regardless of language. However, our analysis also revealed that there exist differences in the frequency, structure and length of exception scopes and exception handling code across languages. This observation suggests that it is not always possible to generalize the results of past findings across projects developed in different languages.|Research Paper|reject|reject
MSR|2015|Multi-layer configuration errors - Empirical study on Wordpress|mohammed sayagh,bram adams|Multi-layer systems,Software configuration,Wordpress,Empirical study|Software can be adapted to different situations and platforms by changing its configuration values. However, incorrect configurations can lead to configuration errors that are hard to resolve, especially in the case of multi layer systems, where configuration choices in each layer might contradict each other or not be visible. This paper performs a case study on a multi-layer system consisting of Wordpress plugins, Wordpress, and php. Our analyses show that these layers use an important number of configuration options, which evolves across time. They also show that each layer uses a considerable percentage of configuration options defined by lower layers, and that a high percentage of Wordpress and php configuration options are used by different plugins at the same time.|Research Paper|reject|reject
MSR|2015|Extracting normative processes from open source software repositories - A case study of Python Enhancement Proposals (PEPs)|bastin tony roy savarimuthu,khanh hoa dam,daniel avery,aditya k. ghose|norms,normative process,norm mining,norm extraction,process mining|The process by which norms are initially suggested, discussed, supported and ratified to become a policies – the normative process – is often complex, but is crucial to the governing of open organizations like the Open Source Software Development (OSSD) communities. Individuals require a good understanding of the normative processes that exist in those communities to enable smoother collaboration across geographically distributed and diverse members. In many cases, normative processes are not explicitly prescribed, and even if they exist, do not reflect the current practice of an OSSD community. In this paper, we propose to mine archived project documentation to extract normative processes. We particularly focus on extracting the normative processes used in the Python development community to create Python Enhancement Proposals (PEPs). Our findings demonstrate how a process describing the developmental stages of PEPs made available to the community (the prescribed process) is different to the process extracted from archived data (the extracted process). Also, it demonstrates the need for making the fine-grained normative processes of the three types of PEPs available to the community. Insights from our analysis of the extracted normative processes can lead to interesting research on how the nature of normative processes affect the success and failure of an OSSD community.|Research Paper|reject|reject
MSR|2015|Why Power Laws? An Explanation from Fine-Grained Code Changes|zhongpeng lin,jim whitehead|power law,simulation,software evolution,self-organized criticality,preferential attachment,fine-grained code changes|Throughout the years, empirical studies have found power law distributions in various measures across many software systems. However, to this day, surprisingly little is known about how they are produced. We offer an explanation from the perspective of fine-grained code changes in this paper. A model based on preferential attachment and self-organized criticality is proposed to simulate software evolution. The experiment shows that the simulation is able to render power law distributions out of the fine-grained code changes, suggesting preferential attachment and self-organized criticality may be the underlying forces for the power law distributions in software systems.|Research Paper|accept|accept
MSR|2015|Homophily and Behavioral Influence in OSS Socio-Technical Networks|david kavaler,vladimir filkov|social networks,networks and behavior,network evolution,behavior evolution,knowledge flow,homophily,influence,apache,open source software,stochastic actor-oriented model,siena|Working with others and being mindful of others' work is part and parcel of software development, especially in Open Source Software (OSS) projects. Developers' social and technical activities in those project occur in context of  the similar activities of all their teammates, as they all change and evolve together. Dynamic socio-technical task networks can summarize such interleaved activities at a systemic level, thus enabling epidemiological studies of both the link changes and the behavioral effects. Static analysis approaches are frequently inadequate to study these networks as OSS projects change dramatically in both social and technical activity over time. On the other hand, ad-hoc dynamic approaches are often only loosely supported by theory and can yield misleading findings. Borrowing from social network analysis, here we adapt for our purposes the stochastic actor-oriented models for studying the evolution of network properties. This modeling technique provides methods to study the interplay between behavior influence and network architecture as they change over time. Using the R package SIENA we apply these models to the study of link evolution and file ownership and productivity behavior in three Apache Software Foundation projects. We find evidence of selection in link evolution in all projects. On the other hand, we find no evidence for the spread of influence of either ownership or productivity behaviors through the networks. This work illustrates the great potential of dynamical network models for studying influences affecting the software process.|Research Paper|reject|reject
MSR|2015|Characterization and prediction of issue-related risks in software projects|morakot choetikertikul,khanh hoa dam,truyen tran,aditya k. ghose|Risk management,Issue tracking system,Machine learning,Data mining|Identifying risks relevant to a software project and planning measures to deal with them are critical to the success of the project. Current practices in risk assessment mostly rely on high-level, generic guidance or the subjective judgements of experts. In this paper, we propose a novel approach to risk assessment using historical data associated with a software project. Specifically, our approach identifies patterns of past events that caused project delays, and uses this knowledge to identify risks in the current state of the project. A set of risk factors characterizing “risky” software tasks (in the form of issues) were extracted from five open source projects: Apache, Duraspace, JBoss, Moodle, and Spring. In addition, we performed feature selection using a sparse logistic regression model to select risk factors with good discriminative power. Based on these risk factors, we built predictive models to predict if an issue will cause a project delay. Our predictive models are able to predict both the risk impact (i.e. the extend of the delay) and the likelihood of a risk occurring. The evaluation results demonstrate the effectiveness of our predictive models, achieving on average 48%–81% precision, 23%–90% recall, 29%–71% F-measure, and 70%–92% Area Under the ROC Curve. Our predictive models also have low error rates: 0.39–0.75 for Macro- averaged Mean Cost-Error and and 0.7–1.2 for Macro-averaged Mean Absolute Error.|Research Paper|accept|accept
MSR|2015|Recommendations for Extract Method Refactoring Based on Machine Learning|ayaka imazato,yoshiki higo,keisuke hotta,shinji kusumoto|Refactoring,Extract Method,Machine Learning,Software Maintenance|Refactoring is a technique to alter internal structure of software without changing its external behavior. Refactoring is an important technique to improve maintainability of software, and developers often use this technique during development process. Previously, a number of research have focused on refactoring. Some of them proposed techniques to recommend refactoring opportunities for developers. Recommendation of refactoring opportunities helps to reduce developers' time and effort to find locations to be refactored. However, there are no specific criteria for developers to determine where they should refactor because the criteria differ from project to project and from developer to developer. In this study, we propose a technique to recommend refactoring opportunities in source code by using machine learning techniques. Machine learning techniques enables to recommend flexibly refactoring opportunities in accordance with the characteristics of target projects and developers. Our proposed technique learns information on the features of refactorings conducted in the past. Then, based on these information, it recommends refactoring opportunities in given source code for developers. To evaluate our proposed technique, we investigated four research questions with five open source projects. As a result, we confirmed that the proposed technique was able to recommend refactoring opportunities with high accuracy.|Research Paper|reject|reject
MSR|2015|Towards Extracting Requirement Models from Bug Repositories|daniel avery,khanh hoa dam,bastin tony roy savarimuthu,aditya k. ghose|mining bug reports,requirements mining,requirements interdependencies|Bug-tracking and issue-tracking systems contain insightful information about both functionalities (functional requirements) and qualities (non-functional requirements) of a software. These are in the form of reporting a requirement not being met, or requesting a change to existing requirement, or requesting to add requirements. Such information can be mined to extract a requirement model for a software which can be used to reason about duplications (as done by existing work on detection of duplicate bug reports), inconsistencies, and requirement interdependencies. This paper proposes a technique to extract requirements in the form of normative statements from issue/bug reports. This is a step towards formalizing and extracting a requirement model from issue/bug reports.|Research Paper|reject|reject
MSR|2015|Are Suggestions about Coupled Changes Interesting? - Software Repository Mining Case Study|jasmin ramadani,stefan wagner|Data Mining,Software Repositories,Coupled Changes,Interestingness|Software repositories include a large amount of information that can be used for bug fixing or maintenance. It can be hard to successfully perform these tasks if the developer does not have much experience in software development. We apply data mining to analyze the source code history and discover coupling between file changes. We investigate three repositories to find files that frequently change together to support the software developers during these tasks. We complement to the coupled files information coming from the version control system, the issue tracking system and the project documentation. In our study, we contrast our findings with feedback from the developers about how interesting our findings are for them. The study results show that small repositories are not suitable for successful analysis. Coupled changes and most of the additional attributes we present are interesting for developers with various level of experience and not only for the unexperienced. They also suggest other additional issues to be relevant, e.g. the context of the coupled changes and the way they are presented, which we did not cover in this study.|Research Paper|reject|reject
MSR|2015|Trend Analysis of Key Technologies on Community Question & Answering Sites|abhishek kumar singh,debasish sena,naresh kumar nagwani,sudhakar pandey|Trend Analysis,Fuzzy Trend Analysis,ARIMA,Community Question and Answering|In recent era, users have been increasingly sharing their questions and answers on community question answering sites. Most community question answering sites aim towards providing useful and relevant answers to the questions. These community sites are mainly used by software developers in the area of programming languages and key technologies of software development. Trend analysis of these community sites help in understanding the technological evolutions, its popularity and key features used in recent software development. Trend analysis also benefits software developers to understand recent technologies and their related problems faced by other users. A question in Q&A site mainly consists of three attributes namely title, body and tags. Tag is one of the very important attribute in a question present in a community question answering site. Tag provides the terms associated with a particular question and technology. In this work trend analysis is carried using time series analysis techniques over the tags mentioned for the questions. Time series analysis works on ordered sequence of values of a variable spaced equally in time intervals. In this paper ARIMA time series model and fuzzy time series model are used for trend analysis of the weekly data of key programming technologies such as c#, java, php and python. Primary findings indicate that the fuzzy time series analysis provides more accurate technology trends in comparison to the ARIMA time series model.|Research Paper|reject|reject
