ID$|$Venue$|$Year$|$Title$|$H2$|$H3$|$Ref_ID$|$Cites$|$Author_IDs$|$Authors$|$Abstract
29$|$1$|$2016$|$AntMiner mining more bugs by reducing noise interference$|$Defect prediction$|$$|$None$|$$|$115,116,117,118,119,120$|$bin liang,pan bian,yan zhang,wenchang shi,wei you,yan cai$|$None
30$|$1$|$2016$|$Program synthesis using natural language$|$Synthesis$|$$|$None$|$$|$121,122,123,124,125,126,127,128$|$aditya desai,sumit gulwani,vineet hingorani,nidhi jain,amey karkare,mark marron,sailesh r,subhajit roy$|$None
31$|$1$|$2016$|$SWIM synthesizing what i mean code search and idiomatic snippet synthesis$|$Synthesis$|$$|$None$|$$|$129,130,131$|$mukund raghothaman,yi wei,youssef hamadi$|$None
32$|$1$|$2016$|$Crosssupervised synthesis of webcrawlers$|$Synthesis$|$$|$None$|$$|$132,133,134$|$adi omari,sharon shoham,eran yahav$|$None
33$|$1$|$2016$|$Automatic model generation from documentation for Java API functions$|$Synthesis$|$$|$None$|$$|$135,136,137,138,107,139,140$|$juan zhai,jianjun huang,shiqing ma,xiangyun zhang,lin tan,jianhua zhao,feng qin$|$None
34$|$1$|$2016$|$Augmenting API documentation with insights from stack overflow$|$API$|$$|$None$|$$|$100,141$|$christoph treude,martin p. robillard$|$None
35$|$1$|$2016$|$From word embeddings to document similarities for improved information retrieval in software engineering$|$API$|$$|$None$|$$|$142,143,144,145,146$|$xin ye,hui shen,xiao ma,razvan c. bunescu,chang liu$|$None
36$|$1$|$2016$|$Learning API usages from bytecode a statistical approach$|$API$|$$|$None$|$$|$147,148,149,150$|$tam the nguyen,hung viet pham,phong minh vu,tung thanh nguyen$|$None
37$|$1$|$2016$|$On the naturalness of buggy code$|$Code smells$|$$|$None$|$$|$151,152,153,154,104,43$|$baishakhi ray,vincent hellendoorn,saheel godhane,zhaopeng tu,alberto bacchelli,premkumar t. devanbu$|$None
38$|$1$|$2016$|$Code anomalies flock together exploring code anomaly agglomerations for locating design problems$|$Code smells$|$$|$None$|$$|$155,156,157,158,159$|$willian nalepa oizumi,alessandro garcia,leonardo da silva sousa,bruno barbieri pontes cafeo,yixue zhao$|$None
39$|$1$|$2016$|$Using biometrics to predict code quality online$|$Code smells$|$$|$None$|$$|$160,161$|$sebastian muller,thomas fritz$|$None
40$|$1$|$2016$|$CUSTODES automatic spreadsheet cell clustering and smell detection using strong and weak features$|$Code smells$|$$|$None$|$$|$162,163,164,165$|$shing-chi cheung,wanjun chen,yepang liu,chang xu$|$None
41$|$1$|$2016$|$Disseminating architectural knowledge on opensource projects a case study of the book architecture of opensource applications$|$Architecture$|$$|$None$|$$|$141,166$|$martin p. robillard,nenad medvidovic$|$None
42$|$1$|$2016$|$Identifying and quantifying architectural debt$|$Architecture$|$$|$None$|$$|$167,168,169,170,171$|$lu xiao,yuanfang cai,rick kazman,ran mo,qiong feng$|$None
43$|$1$|$2016$|$Decoupling level a new metric for architectural maintenance complexity$|$Architecture$|$$|$None$|$$|$170,168,169,167,171$|$ran mo,yuanfang cai,rick kazman,lu xiao,qiong feng$|$None
44$|$1$|$2016$|$On the limits of mutation reduction strategies$|$Testing 1$|$$|$None$|$$|$172,173,174,175,176$|$rahul gopinath,mohammad amin alipour,iftekhar ahmed,carlos jensen,alex groce$|$None
45$|$1$|$2016$|$Comparing whitebox and blackbox test prioritization$|$Testing 1$|$$|$None$|$$|$177,178,179,180,181$|$christopher henard,mike papadakis,mark harman,yue jia,yves le traon$|$None
46$|$1$|$2016$|$How does regression test prioritization perform in realworld software evolution$|$Testing 1$|$$|$None$|$$|$182,183,184,185,6,186,66$|$yafeng lu,yiling lou,shiyang cheng,lingming zhang,dan hao,yangfan zhou,lu zhang$|$None
47$|$1$|$2016$|$The impact of test case summaries on bug fixing performance an empirical investigation$|$Testing 1$|$$|$None$|$$|$187,188,189,190,191$|$sebastiano panichella,annibale panichella,moritz beller,andy zaidman,harald c. gall$|$None
48$|$1$|$2016$|$Reducing combinatorics in GUI testing of android applications$|$Testing 2$|$$|$None$|$$|$192,193,194,195,196$|$nariman mirzaei,joshua garcia,hamid bagheri,alireza sadeghi,sam malek$|$None
49$|$1$|$2016$|$MobiPlay a remote execution based recordandreplay tool for mobile applications$|$Testing 2$|$$|$None$|$$|$197,198,199,200$|$zhengrui qin,yutao tang,edmund novak,qun li$|$None
50$|$1$|$2016$|$VDTest an automated framework to support testing for virtual devices$|$Testing 2$|$$|$None$|$$|$201,202,203$|$tingting yu,xiao qu,myra b. cohen$|$None
51$|$1$|$2016$|$Automated test suite generation for timecontinuous simulink models$|$Testing 2$|$$|$None$|$$|$204,205,206,207$|$reza matinnejad,shiva nejati,lionel c. briand,thomas bruckmann$|$None
52$|$1$|$2016$|$Missing data imputation based on lowrank recovery and semisupervised regression for software effort estimation$|$Effort estimation and search$|$$|$None$|$$|$208,209,210,211$|$xiao-yuan jing,fumin qi,fei wu,baowen xu$|$None
53$|$1$|$2016$|$Multiobjective software effort estimation$|$Effort estimation and search$|$$|$None$|$$|$212,213,179$|$federica sarro,alessio petrozziello,mark harman$|$None
54$|$1$|$2016$|$A practical guide to select quality indicators for assessing paretobased search algorithms in searchbased software engineering$|$Effort estimation and search$|$$|$None$|$$|$214,215,216,217,218$|$shuai wang,shaukat ali khan,tao yue,yan li,marius liaaen$|$None
55$|$1$|$2016$|$A comparison of 10 sampling algorithms for configurable systems$|$Product lines$|$$|$None$|$$|$219,220,221,222,223$|$flavio m. medeiros,christian kastner,marcio de medeiros ribeiro,rohit gheyi,sven apel$|$None
56$|$1$|$2016$|$Featured modelbased mutation analysis$|$Product lines$|$$|$None$|$$|$224,225,178,226,227,228$|$xavier devroey,gilles perrouin,mike papadakis,axel legay,pierre-yves schobbens,patrick heymans$|$None
57$|$1$|$2016$|$Featuremodel interfaces the highway to compositional analyses of highlyconfigurable systems$|$Product lines$|$$|$None$|$$|$229,230,231,232,233$|$reimar schroter,sebastian krieter,thomas thum,fabian benduhn,gunter saake$|$None
58$|$1$|$2016$|$How does the degree of variability affect bug finding$|$Product lines$|$$|$None$|$$|$234,235,236$|$jean melo,claus brabrand,andrzej wasowski$|$None
59$|$1$|$2016$|$Angelix scalable multiline program patch synthesis via symbolic analysis$|$Repair and model synthesis$|$$|$None$|$$|$237,238,239$|$sergey mechtaev,jooyong yi,abhik roychoudhury$|$None
60$|$1$|$2016$|$An analysis of the search spaces for generate and validate patch generation systems$|$Repair and model synthesis$|$$|$None$|$$|$240,241$|$fan long,martin c. rinard$|$None
61$|$1$|$2016$|$PAC learningbased verification and model synthesis$|$Repair and model synthesis$|$$|$None$|$$|$242,243,244,245,246,247,248$|$yu-fang chen,chiao hsieh,ondrej lengal,tsung-ju lii,ming-hsien tsai,bow-yaw wang,farn wang$|$None
62$|$1$|$2016$|$StubDroid automatic inference of precise dataflow summaries for the android framework$|$Repair and model synthesis$|$$|$None$|$$|$249,250$|$steven arzt,eric bodden$|$None
63$|$1$|$2016$|$Exploring language support for immutability$|$Languages$|$$|$None$|$$|$251,252,253,254,255,256$|$michael j. coblenz,joshua sunshine,jonathan aldrich,brad a. myers,samuel weber,forrest shull$|$None
64$|$1$|$2016$|$The evolution of C programming practices a study of the Unix operating system 19732015$|$Languages$|$$|$None$|$$|$257,258,259$|$diomidis spinellis,panos louridas,maria kechagia$|$None
65$|$1$|$2016$|$An empirical study on the impact of C lambdas and programmer experience$|$Languages$|$$|$None$|$$|$260,261,262,263,264$|$phillip merlin uesbeck,andreas stefik,stefan hanenberg,jan pedersen,patrick daleiden$|$None
66$|$1$|$2016$|$Understanding and fixing multiple language interoperability issues the CFortran case$|$Languages$|$$|$None$|$$|$265,266,267,78$|$nawrin sultana,justin middleton,jeffrey overbey,munawar hafiz$|$None
67$|$1$|$2016$|$BigDebug debugging primitives for interactive big data processing in spark$|$Debugging$|$$|$None$|$$|$268,269,270,271,272,273,39$|$muhammad ali gulzar,matteo interlandi,seunghyun yoo,sai deep tetali,tyson condie,todd d. millstein,miryung kim$|$None
68$|$1$|$2016$|$Debugging for reactive programming$|$Debugging$|$$|$None$|$$|$274,275$|$guido salvaneschi,mira mezini$|$None
69$|$1$|$2016$|$Revisit of automatic debugging via human focustracking analysis$|$Debugging$|$$|$None$|$$|$276,277,278,279,280,211$|$xiaoyuan xie,zicong liu,shuo song,zhenyu chen,jifeng xuan,baowen xu$|$None
70$|$1$|$2016$|$RETracer triaging crashes by reverse execution from partial memory dumps$|$Debugging$|$$|$None$|$$|$281,282,283,284,285$|$weidong cui,marcus peinado,sang kil cha,yanick fratantonio,vasileios p. kemerlis$|$None
71$|$1$|$2016$|$Are nonfunctional requirements really nonfunctional an investigation of nonfunctional requirements in practice$|$Requirements$|$$|$None$|$$|$286,287,288$|$jonas eckhardt,andreas vogelsang,daniel mendez fernandez$|$None
72$|$1$|$2016$|$Probing for requirements knowledge to stimulate architectural thinking$|$Requirements$|$$|$None$|$$|$289,290,291,292,293,294,295$|$preethu rose anish,balaji balasubramaniam,abhishek sainani,jane cleland-huang,maya daneva,roel j. wieringa,smita ghaisas$|$None
73$|$1$|$2016$|$Riskdriven revision of requirements models$|$Requirements$|$$|$None$|$$|$296,297,298,299,300$|$dalal alrajeh,axel van lamsweerde,jeffrey kramer,alessandra russo,sebastian uchitel$|$None
74$|$1$|$2016$|$Discovering unknown known security requirements$|$Requirements$|$$|$None$|$$|$301,302,303,304,305,306$|$awais rashid,syed asad ali naqvi,rajiv ramdhany,matthew john edwards,ruzanna chitchyan,m. ali babar$|$None
75$|$1$|$2016$|$Behavioral log analysis with statistical guarantees$|$Dynamic analysis$|$$|$None$|$$|$307,308$|$nimrod busany,shahar maoz$|$None
76$|$1$|$2016$|$Efficient largescale trace checking using mapreduce$|$Dynamic analysis$|$$|$None$|$$|$309,310,311,312,313$|$marcello m. bersani,domenico bianculli,carlo ghezzi,srdan krstic,pierluigi san pietro$|$None
77$|$1$|$2016$|$Feedbackdirected instrumentation for deployed JavaScript applications$|$Dynamic analysis$|$$|$None$|$$|$314,315,316,317,318$|$magnus madsen,frank tip,esben andreasen,koushik sen,anders moller$|$None
78$|$1$|$2016$|$DoubleTake fast and precise error detection via evidencebased dynamic analysis$|$Dynamic analysis$|$$|$None$|$$|$319,320,321$|$tongping liu,charlie curtsinger,emery d. berger$|$None
79$|$1$|$2016$|$Automated partitioning of android applications for trusted execution environments$|$Security$|$$|$None$|$$|$322,323,324,239$|$konstantin rubinov,lucia rosculete,tulika mitra,abhik roychoudhury$|$None
80$|$1$|$2016$|$Jumping through hoops why do Java developers struggle with cryptography APIs$|$Security$|$$|$None$|$$|$325,326,275,250$|$sarah nadi,stefan kruger,mira mezini,eric bodden$|$None
81$|$1$|$2016$|$Finding security bugs in web applications using a catalog of access control patterns$|$Security$|$$|$None$|$$|$327,328$|$joseph p. near,daniel b. jackson$|$None
82$|$1$|$2016$|$Reference hijacking patching protecting and analyzing on unmodified and nonrooted android devices$|$Security$|$$|$None$|$$|$119,115,118,329,330,331,138$|$wei you,bin liang,wenchang shi,shuyang zhu,peng wang,sikefu xie,xiangyun zhang$|$None
83$|$1$|$2016$|$Building a theory of job rotation in software engineering from an instrumental case study$|$Collaborative$|$$|$None$|$$|$332,333,334,335$|$ronnie e. s. santos,fabio q. b. da silva,cleyton v. c. de magalhaes,cleviton v. f. monteiro$|$None
84$|$1$|$2016$|$The challenges of staying together while moving fast an exploratory study$|$Collaborative$|$$|$None$|$$|$336,337$|$julia rubin-mosin,martin rinard$|$None
85$|$1$|$2016$|$The sky is not the limit multitasking across GitHub projects$|$Collaborative$|$$|$None$|$$|$338,339,340,341,342,43,343$|$bogdan vasilescu,kelly blincoe,qi xuan,casey casalnuovo,daniela e. herlea,premkumar t. devanbu,vladimir filkov$|$None
86$|$1$|$2016$|$Quantifying and mitigating turnoverinduced knowledge loss case studies of chrome and a project at avaya$|$Collaborative$|$$|$None$|$$|$344,345,346,347$|$peter c. rigby,yue cai zhu,samuel m. donadelli,audris mockus$|$None
87$|$1$|$2016$|$Quality experience a grounded theory of successful agile projects without dedicated testers$|$Software quality$|$$|$None$|$$|$348,349,350$|$lutz prechelt,holger schmeisky,franz zieris$|$None
88$|$1$|$2016$|$Code review quality how developers see it$|$Software quality$|$$|$None$|$$|$351,352,353$|$oleksii kononenko,olga baysal,michael w. godfrey$|$None
89$|$1$|$2016$|$Revisiting code ownership and its relationship with software quality in the scope of modern code review$|$Software quality$|$$|$None$|$$|$354,113,111,355$|$patanamon thongtanunam,shane mcintosh,ahmed e. hassan,hajimu iida$|$None
90$|$1$|$2016$|$IntEQ recognizing benign integer overflows via equivalence checking across multiple precisions$|$Program analysis$|$$|$None$|$$|$356,138,357,358$|$hao sun,xiangyun zhang,yunhui zheng,qingkai zeng$|$None
91$|$1$|$2016$|$Nomen est omen exploring and exploiting similarities between argument and parameter names$|$Program analysis$|$$|$None$|$$|$359,360,361,29,362$|$hui liu,qiurong liu,cristian-alexandru staicu,michael pradel,yue luo$|$None
92$|$1$|$2016$|$Floatingpoint precision tuning using blame analysis$|$Program analysis$|$$|$None$|$$|$363,364,365,317,366,367,368,369,370,371$|$cindy rubio-gonzalez,cuong nguyen 0001,benjamin mehne,koushik sen,james demmel,william kahan,costin iancu,wim lavrijsen,david h. bailey,david hough$|$None
93$|$1$|$2016$|$Crowdsourcing program preconditions via a classification game$|$Program analysis$|$$|$None$|$$|$372,373,374,375,376$|$daniel fava,dan shapiro,joseph c. osborn,martin schaf,jim whitehead$|$None
94$|$1$|$2016$|$Scalable thread sharing analysis$|$Concurrency$|$$|$None$|$$|$377$|$jeff huang 0001$|$None
95$|$1$|$2016$|$Fixing deadlocks via lock preacquisitions$|$Concurrency$|$$|$None$|$$|$120,378$|$yan cai,lingwei cao$|$None
96$|$1$|$2016$|$Coveragedriven test code generation for concurrent classes$|$Concurrency$|$$|$None$|$$|$379,162$|$valerio terragni,shing-chi cheung$|$None
97$|$1$|$2016$|$Locking discipline inference and checking$|$Concurrency$|$$|$None$|$$|$380,381,382,383,384$|$michael d. ernst,alberto lovato,damiano macedonio,fausto spoto,javier thaine$|$None
98$|$1$|$2016$|$Improving refactoring speed by 10X$|$Maintenance$|$$|$None$|$$|$385,386,387,388$|$jongwook kim,don s. batory,danny dig,maider azanza$|$None
99$|$1$|$2016$|$SourcererCC scaling code clone detection to bigcode$|$Maintenance$|$$|$None$|$$|$389,390,391,392,393$|$hitesh sajnani,vaibhav saini,jeffrey svajlenko,chanchal kumar roy,cristina v. lopes$|$None
100$|$1$|$2016$|$Understanding asynchronous interactions in fullstack JavaScript$|$Maintenance$|$$|$None$|$$|$394,395,396$|$saba alimadadi,ali mesbah 0001,karthik pattabiraman$|$None
101$|$1$|$2016$|$Shadow of a doubt testing for divergences between software versions$|$Maintenance$|$$|$None$|$$|$397,398,399$|$hristina palikareva,tomasz kuchta,cristian cadar$|$None
102$|$1$|$2016$|$CloudBuild Microsofts distributed and caching build service$|$Software engineering in practice (SEIP):infrastructure support$|$$|$None$|$$|$400,401,402,403,404,405,406,407,408$|$hamed esfahani,jonas fietz,qi ke,alexei kolomiets,erica lan,erik mavrinac,wolfram schulte,newton sanches,srikanth kandula$|$None
103$|$1$|$2016$|$Continuous deployment at Facebook and OANDA$|$Software engineering in practice (SEIP):infrastructure support$|$$|$None$|$$|$409,410,411,412,413,414$|$tony savor,mitchell douglas,michael gentili,laurie a. williams,kent beck,michael stumm$|$None
104$|$1$|$2016$|$An empirically developed method to aid decisions on architectural technical debt refactoring AnaConDebt$|$Software engineering in practice (SEIP):infrastructure support$|$$|$None$|$$|$415,416$|$antonio martini,jan bosch$|$None
105$|$1$|$2016$|$Trustworthiness in enterprise crowdsourcing a taxonomy  evidence from data$|$Software engineering in practice (SEIP):infrastructure support$|$$|$None$|$$|$417,418,419,420$|$anurag dwarakanath,n. c. shrikanth,kumar abhinav,alex kass$|$None
106$|$1$|$2016$|$Practical programming validation and verification with finitestate machines a library and its industrial application$|$Software engineering in practice (SEIP):static analysis$|$$|$None$|$$|$421$|$paulo salem$|$None
107$|$1$|$2016$|$Battles with false positives in static analysis of JavaScript web applications in the wild$|$Software engineering in practice (SEIP):static analysis$|$$|$None$|$$|$422,423,424$|$joonyoung park,inho lim,sukyoung ryu$|$None
108$|$1$|$2016$|$Detecting problems in the database access code of large scale systems an industrial experience report$|$Software engineering in practice (SEIP):static analysis$|$$|$None$|$$|$425,426,111,427,428$|$tse-hsun chen,weiyi shang,ahmed e. hassan,mohamed n. nasser,parminder flora$|$None
109$|$1$|$2016$|$Engineering the servo web browser engine using Rust$|$Software engineering in practice (SEIP):static analysis$|$$|$None$|$$|$429,430,431,432,433,434,435$|$brian anderson,lars bergstrom,manish goregaokar,josh matthews,keegan mcallister,jack moffitt,simon sapin$|$None
110$|$1$|$2016$|$Chaos engineering panel$|$Software engineering in practice (SEIP):panel discussion$|$$|$None$|$$|$436,437$|$lorin hochstein,casey rosenthal$|$None
111$|$1$|$2016$|$The bones of the system a case study of logging and telemetry at Microsoft$|$Software engineering in practice (SEIP):monitoring$|$$|$None$|$$|$438,41,439,440$|$titus barik,robert deline,steven m. drucker,danyel fisher$|$None
112$|$1$|$2016$|$Log clustering based problem identification for online service systems$|$Software engineering in practice (SEIP):monitoring$|$$|$None$|$$|$73,65,74,441,442$|$qingwei lin,hongyu zhang,jian-guang lou,yu zhang,xuewei chen$|$None
113$|$1$|$2016$|$Use runtime verification to improve the quality of medical care practice$|$Software engineering in practice (SEIP):monitoring$|$$|$None$|$$|$443,444,445,446,447,448,449$|$yu jiang,han liu,hui kong,rui wang,mohammad hosseini,jiaguang sun,lui sha$|$None
114$|$1$|$2016$|$Assessing the usefulness of a requirements monitoring tool a study involving industrial software engineers$|$Software engineering in practice (SEIP):monitoring$|$$|$None$|$$|$450,451,452$|$rick rabiser,michael vierhauser,paul grunbacher$|$None
115$|$1$|$2016$|$Lessons learned in aligning data and model evolution in collaborative information systems$|$Software engineering in practice (SEIP):evolution$|$$|$None$|$$|$453,454,455,456$|$thomas reschenhofer,manoj bhat,adrian hernandez-mendez,florian matthes$|$None
116$|$1$|$2016$|$Mentoring trajectories in an evolving agile workplace$|$Software engineering in practice (SEIP):evolution$|$$|$None$|$$|$457,458,459$|$shreya kumar,charles wallace,michael young$|$None
117$|$1$|$2016$|$Visualizing the effects of requirements evolution$|$Software engineering in practice (SEIP):evolution$|$$|$None$|$$|$460,461,462,463,464$|$shinobu saito,yukako iimura,hirokazu tashiro,aaron k. massey,annie i. anton$|$None
118$|$1$|$2016$|$VEnron a versioned spreadsheet corpus and related evolution analysis$|$Software engineering in practice (SEIP):evolution$|$$|$None$|$$|$465,466,162,467,468,469$|$wensheng dou,liang xu,shing-chi cheung,chushu gao,jun wei,tao huang$|$None
119$|$1$|$2016$|$System testing of repositorystyle software an experience report$|$Software engineering in practice (SEIP):dynamic analysis$|$$|$None$|$$|$470$|$paolo salvaneschi$|$None
120$|$1$|$2016$|$Enhancing test case prioritization in an industrial setting with resource awareness and multiobjective search$|$Software engineering in practice (SEIP):dynamic analysis$|$$|$None$|$$|$214,215,216,471,218$|$shuai wang,shaukat ali khan,tao yue,oyvind bakkeli,marius liaaen$|$None
121$|$1$|$2016$|$Integrating automatic backward error recovery in asynchronous rich clients$|$Software engineering in practice (SEIP):dynamic analysis$|$$|$None$|$$|$472,473,474,475$|$manuel quintela-pumares,bruno cabral,daniel fernandez lanvin,alberto manuel fernandez alvarez$|$None
122$|$1$|$2016$|$Opaque service virtualisation a practical tool for emulating endpoint systems$|$Software engineering in practice (SEIP):dynamic analysis$|$$|$None$|$$|$476,477,478,479,480,481$|$steven versteeg,miao du,jean-guy schneider,john c. grundy,jun han,menka goyal$|$None
123$|$1$|$2016$|$A study of the qualityimpacting practices of modern code review at Sony mobile$|$Software engineering in practice (SEIP):development support$|$$|$None$|$$|$482,483,113,111,484$|$junji shimagaki,yasutaka kamei,shane mcintosh,ahmed e. hassan,naoyasu ubayashi$|$None
124$|$1$|$2016$|$CoRReCT code reviewer recommendation in GitHub based on crossproject and technology experience$|$Software engineering in practice (SEIP):development support$|$$|$None$|$$|$485,392,486$|$mohammad masudur rahman,chanchal kumar roy,jason a. collins$|$None
125$|$1$|$2016$|$How do freeopen source developers pick their tools a Delphi study of the Debian project$|$Software engineering in practice (SEIP):development support$|$$|$None$|$$|$487,45,47$|$martin f. krafft,klaas-jan stol,brian fitzgerald$|$None
126$|$1$|$2016$|$Observations on knowledge transfer of professional software developers during pair programming$|$Software engineering in practice (SEIP):development support$|$$|$None$|$$|$350,348$|$franz zieris,lutz prechelt$|$None
127$|$1$|$2016$|$Assessing the process of an Eastern European software SME using systemic analysis GQM and reliability growth models a case study$|$Software engineering in practice (SEIP):process$|$$|$None$|$$|$488,489,490,491,492$|$vladimir ivanov,manuel mazzara,witold pedrycz,alberto sillitti,giancarlo succi$|$None
128$|$1$|$2016$|$Model driven development of business applications a practitioners perspective$|$Software engineering in practice (SEIP):process$|$$|$None$|$$|$493$|$vinay kulkarni$|$None
129$|$1$|$2016$|$Industry application of continuous integration modeling a multiplecase study$|$Software engineering in practice (SEIP):process$|$$|$None$|$$|$494,416$|$daniel stahl,jan bosch$|$None
130$|$1$|$2016$|$What went right and what went wrong an analysis of 155 postmortems from game development$|$Software engineering in practice (SEIP):process$|$$|$None$|$$|$495,496,497,40,44$|$michael washburn jr.,pavithra sathiyanarayanan,meiyappan nagappan,thomas zimmermann 0001,christian bird$|$None
131$|$1$|$2016$|$Learning Agile software development in high school an investigation$|$Software engineering education and training (SEET):agile$|$$|$None$|$$|$498,499,500$|$marcello missiroli,daniel russo 0002,paolo ciancarini$|$None
132$|$1$|$2016$|$Teaching Agile addressing the conflict between project delivery and application of Agile methods$|$Software engineering education and training (SEET):agile$|$$|$None$|$$|$501,502,503,504,505,506$|$jan-philipp steghofer,eric knauss,emil alegroth,imed hammouda,hakan burden,morgan ericsson$|$None
