Index, Cites, Year, Title, Authors
6, 110, 2002, "Two case studies of open source software development Apache and Mozilla", "audris mockus,roy thomas fielding,james d. herbsleb"
6, 99, 2000, "Predicting Fault Incidence Using Software Change History", "todd l. graves,alan f. karr,james stephen marron,harvey p. siy"
6, 95, 2006, "Who should fix this bug", "john anvik,lyndon hiew,gail c. murphy"
6, 90, 2005, "When do changes induce fixes", "jacek sliwerski,thomas zimmermann 0001,andreas zeller"
7, 156, 1997, "The Model Checker SPIN", "gerard j. holzmann"
7, 99, 1995, "The 41 View Model of Architecture", "philippe kruchten"
7, 94, 2000, "A Classification and Comparison Framework for Software Architecture Description Languages", "nenad medvidovic,richard n. taylor"
7, 89, 1997, "A Formal Basis for Architectural Connection", "robert allen,david garlan"
7, 69, 1995, "Abstractions for Software Architecture and Tools to Support Them", "mary m. shaw,robert deline,daniel v. klein,theodore l. ross,david m. young,gregory zelesnik"
8, 135, 1994, "Experiments of the Effectiveness of Dataflow and ControlflowBased Test Adequacy Criteria", "monica hutchins,herbert foster,tarak goradia,thomas j. ostrand"
8, 112, 2005, "Supporting Controlled Experimentation with Testing Techniques An Infrastructure and its Potential Impact", "hyunsook do,sebastian g. elbaum,gregg rothermel"
8, 106, 2002, "Visualization of test information to assist fault localization", "james a. jones,mary jean harrold,john t. stasko"
8, 92, 2001, "Prioritizing Test Cases For Regression Testing", "gregg rothermel,roland h. untch,chengyun chu,mary jean harrold"
8, 88, 2002, "Simplifying and Isolating FailureInducing Input", "andreas zeller,ralf hildebrandt"
9, 164, 2005, "CUTE a concolic unit testing engine for C", "koushik sen,darko marinov,gul a. agha"
9, 118, 2001, "Dynamically Discovering Likely Program Invariants to Support Program Evolution", "michael d. ernst,jake cockrell,william g. griswold,david notkin"
9, 89, 2002, "Korat automated testing based on Java predicates", "chandrasekhar boyapati,sarfraz khurshid,darko marinov"
9, 81, 2005, "Locating causes of program failures", "holger cleve,andreas zeller"
9, 71, 1981, "Program Slicing", "mark weiser"
10, 63, 1992, "The Design and Implementation of Hierarchical Software Systems with Reusable Components", "don s. batory,sean w. o'malley"
10, 50, 1996, "A Component and MessageBased Architectural Style for GUI Software", "richard n. taylor,nenad medvidovic,kenneth m. anderson,jim whitehead,jason e. robbins,kari a. nies,peyman oreizy,deborah l. dubrow"
10, 35, 2000, "Towards a taxonomy of software connectors", "nikunj r. mehta,nenad medvidovic,sandeep phadke"
10, 33, 1995, "Architectural Mismatch or Why Its Hard to Build Systems Out Of Existing Parts", "david garlan,robert allen,john ockerbloom"
10, 31, 1998, "Understanding Code Mobility", "alfonso fuggetta,gian pietro picco,giovanni vigna"
